"t(s)","ang_vel(rad/s)"
5.120000000E1,7.536745856E-2
5.130000000E1,5.819006960E-2
5.140000000E1,7.217166527E-2
5.150000000E1,5.539375046E-2
5.160000000E1,9.361011196E-2
5.170000000E1,7.163903305E-2
5.180000000E1,5.938849208E-2
5.190000000E1,6.045375652E-2
5.200000000E1,3.715109707E-2
5.210000000E1,7.936220018E-2
5.220000000E1,8.042746462E-2
5.230000000E1,7.789746159E-2
5.240000000E1,7.909588408E-2
5.250000000E1,6.338323370E-2
5.260000000E1,6.657902700E-2
5.270000000E1,6.231796927E-2
5.280000000E1,6.910903003E-2
5.290000000E1,6.764429143E-2
5.300000000E1,6.524744646E-2
5.310000000E1,7.257113943E-2
5.320000000E1,6.125270484E-2
5.330000000E1,6.711165922E-2
5.340000000E1,5.792375349E-2
5.350000000E1,7.550061662E-2
5.360000000E1,7.163903305E-2
5.370000000E1,5.379585382E-2
5.380000000E1,6.884271392E-2
5.390000000E1,6.018744041E-2
5.400000000E1,7.590009078E-2
5.410000000E1,6.271744343E-2
5.420000000E1,7.190534916E-2
5.430000000E1,6.338323370E-2
5.440000000E1,6.404902397E-2
5.450000000E1,6.804376559E-2
5.460000000E1,7.297061359E-2
5.470000000E1,6.085323068E-2
5.480000000E1,5.073321857E-2
5.490000000E1,7.869640991E-2
5.500000000E1,6.471481424E-2
5.510000000E1,6.697850116E-2
5.520000000E1,5.725796322E-2
5.530000000E1,6.471481424E-2
5.540000000E1,7.936220018E-2
5.550000000E1,7.270429748E-2
5.560000000E1,6.325007565E-2
5.570000000E1,8.721852537E-2
5.580000000E1,-4.386226299E-1
5.590000000E1,-9.126653021E-1
5.600000000E1,-9.254484753E-1
5.610000000E1,-7.194529658E-1
5.620000000E1,-2.902845577E-1
5.630000000E1,1.676459900E-1
5.640000000E1,8.177236096E-1
5.650000000E1,1.428785919E0
5.660000000E1,1.335708440E0
5.670000000E1,8.030762237E-1
5.680000000E1,2.655171597E-1
5.690000000E1,-8.269115153E-2
5.700000000E1,-2.895255568E0
5.710000000E1,-3.859985669E0
5.720000000E1,-1.964480771E0
5.730000000E1,-5.912217598E-2
5.740000000E1,1.280048373E0
5.750000000E1,1.707485726E0
5.760000000E1,1.794837410E0
5.770000000E1,1.667538310E0
5.780000000E1,1.179913516E0
5.790000000E1,7.323692970E-1
5.800000000E1,4.877579518E-1
5.810000000E1,2.837598131E-1
5.820000000E1,3.825630891E-1
5.830000000E1,5.368932737E-1
5.840000000E1,6.394249753E-1
5.850000000E1,5.868275440E-1
5.860000000E1,5.779059544E-1
5.870000000E1,6.872287167E-1
5.880000000E1,6.451507716E-1
5.890000000E1,6.065349360E-1
5.900000000E1,5.978796625E-1
5.910000000E1,5.872270181E-1
5.920000000E1,5.809685896E-1
5.930000000E1,5.812349057E-1
5.940000000E1,5.781722705E-1
5.950000000E1,5.803027993E-1
5.960000000E1,5.791043768E-1
5.970000000E1,5.775064802E-1
5.980000000E1,5.821670121E-1
5.990000000E1,5.795038510E-1
6.000000000E1,5.704491033E-1
6.010000000E1,5.314337935E-1
6.020000000E1,5.880259665E-1
6.030000000E1,5.466138117E-1
6.040000000E1,5.558017174E-1
6.050000000E1,5.593969849E-1
6.060000000E1,5.551359271E-1
6.070000000E1,5.665875198E-1
6.080000000E1,5.844306990E-1
6.090000000E1,5.998770333E-1
6.100000000E1,6.458165619E-1
6.110000000E1,6.348976015E-1
6.120000000E1,6.056028296E-1
6.130000000E1,5.842975410E-1
6.140000000E1,5.668538359E-1
6.150000000E1,5.507417113E-1
6.160000000E1,5.406216992E-1
6.170000000E1,5.335643224E-1
6.180000000E1,5.267732616E-1
6.190000000E1,5.161206173E-1
6.200000000E1,5.155879851E-1
6.210000000E1,5.087969243E-1
6.220000000E1,5.107942951E-1
6.230000000E1,4.988100703E-1
6.240000000E1,5.052016569E-1
6.250000000E1,5.045358666E-1
6.260000000E1,5.101285049E-1
6.270000000E1,5.239769425E-1
6.280000000E1,5.328985321E-1
