"t(s)","ang_vel(rad/s)"
3.700000000E1,-4.327636755E-1
3.710000000E1,-4.592621282E-1
3.720000000E1,-4.391552621E-1
3.730000000E1,-4.828311038E-1
3.740000000E1,-4.370247332E-1
3.750000000E1,-4.862932132E-1
3.760000000E1,-5.033374441E-1
3.770000000E1,-5.219795717E-1
3.780000000E1,-5.528722402E-1
3.790000000E1,-5.632585684E-1
3.800000000E1,-5.576659302E-1
3.810000000E1,-5.799033252E-1
3.820000000E1,-5.649896231E-1
3.830000000E1,-6.037386168E-1
3.840000000E1,-5.324990579E-1
3.850000000E1,-5.179848301E-1
3.860000000E1,-5.262406294E-1
3.870000000E1,-5.095958727E-1
3.880000000E1,-5.475459180E-1
3.890000000E1,-4.873584776E-1
3.900000000E1,-4.559331769E-1
3.910000000E1,-4.182494476E-1
3.920000000E1,-5.053348149E-1
3.930000000E1,-4.297010403E-1
3.940000000E1,-4.795021525E-1
3.950000000E1,-4.687163501E-1
3.960000000E1,-4.684500340E-1
3.970000000E1,-4.797684686E-1
3.980000000E1,-4.908205870E-1
3.990000000E1,-5.351622190E-1
4.000000000E1,-5.295695808E-1
4.010000000E1,-5.506085533E-1
4.020000000E1,-5.359611674E-1
4.030000000E1,-5.572664560E-1
4.040000000E1,-5.462143375E-1
4.050000000E1,-5.665875198E-1
4.060000000E1,-5.504753952E-1
4.070000000E1,-5.249090489E-1
4.080000000E1,-5.767075319E-1
4.090000000E1,-5.137237723E-1
4.100000000E1,-4.799016266E-1
4.110000000E1,-4.818989974E-1
4.120000000E1,-4.689826662E-1
4.130000000E1,-5.074653438E-1
4.140000000E1,-5.070658696E-1
4.150000000E1,-4.246410342E-1
4.160000000E1,-4.712463531E-1
4.170000000E1,-4.392884201E-1
4.180000000E1,-4.755074108E-1
4.190000000E1,-5.085306082E-1
4.200000000E1,-5.191832525E-1
4.210000000E1,-4.805674169E-1
4.220000000E1,-5.360943254E-1
4.230000000E1,-5.530053983E-1
4.240000000E1,-5.424859120E-1
4.250000000E1,-5.271727358E-1
4.260000000E1,-5.181179881E-1
4.270000000E1,-5.462143375E-1
4.280000000E1,-5.415538056E-1
4.290000000E1,-5.107942951E-1
4.300000000E1,-5.052016569E-1
4.310000000E1,-5.307680032E-1
4.320000000E1,-5.247758908E-1
4.330000000E1,-5.330316902E-1
4.340000000E1,-4.893558484E-1
4.350000000E1,-4.946821706E-1
4.360000000E1,-4.977448059E-1
4.370000000E1,-5.374259059E-1
4.380000000E1,-5.083974502E-1
4.390000000E1,-4.743089883E-1
4.400000000E1,-5.119927176E-1
4.410000000E1,-5.247758908E-1
4.420000000E1,-5.141232465E-1
4.430000000E1,-4.719121434E-1
4.440000000E1,-4.940163803E-1
4.450000000E1,-4.850947907E-1
4.460000000E1,-5.504753952E-1
4.470000000E1,-5.246427328E-1
4.480000000E1,-5.127916660E-1
4.490000000E1,-5.317001096E-1
4.500000000E1,-4.988100703E-1
4.510000000E1,-5.498096050E-1
4.520000000E1,-5.048021827E-1
4.530000000E1,-4.691158242E-1
4.540000000E1,-4.994758606E-1
4.550000000E1,-5.167864076E-1
4.560000000E1,-5.222458878E-1
4.570000000E1,-5.150553529E-1
4.580000000E1,-5.282380002E-1
4.590000000E1,-5.086637663E-1
4.600000000E1,-4.719121434E-1
4.610000000E1,-5.119927176E-1
4.620000000E1,-5.709817356E-1
4.630000000E1,-4.799016266E-1
4.640000000E1,-4.829642619E-1
4.650000000E1,-4.942826964E-1
4.660000000E1,-5.283711583E-1
4.670000000E1,-5.443501248E-1
4.680000000E1,-5.323658999E-1
4.690000000E1,-4.797684686E-1
4.700000000E1,-5.269064197E-1
4.710000000E1,-5.370264318E-1
4.720000000E1,-5.287706324E-1
4.730000000E1,-5.340969546E-1
4.740000000E1,-5.067995535E-1
4.750000000E1,-5.259743133E-1
